transaction_id,customer_id,amount_cad,debit_credit,transaction_datetime,merchant_category,ecommerce_ind,country,province,city
fake_data_21,fake_data_21,544,fake_data_21,fake_data_21,23,824,fake_data_21,fake_data_21,fake_data_21
fake_data_22,fake_data_22,937,fake_data_22,fake_data_22,686,20,fake_data_22,fake_data_22,fake_data_22
fake_data_23,fake_data_23,877,fake_data_23,fake_data_23,425,709,fake_data_23,fake_data_23,fake_data_23
fake_data_24,fake_data_24,304,fake_data_24,fake_data_24,260,327,fake_data_24,fake_data_24,fake_data_24
fake_data_25,fake_data_25,557,fake_data_25,fake_data_25,535,698,fake_data_25,fake_data_25,fake_data_25
fake_data_26,fake_data_26,587,fake_data_26,fake_data_26,887,971,fake_data_26,fake_data_26,fake_data_26
fake_data_27,fake_data_27,887,fake_data_27,fake_data_27,444,309,fake_data_27,fake_data_27,fake_data_27
fake_data_28,fake_data_28,15,fake_data_28,fake_data_28,197,149,fake_data_28,fake_data_28,fake_data_28
fake_data_29,fake_data_29,993,fake_data_29,fake_data_29,864,938,fake_data_29,fake_data_29,fake_data_29
fake_data_30,fake_data_30,0,fake_data_30,fake_data_30,25,867,fake_data_30,fake_data_30,fake_data_30
fake_data_31,fake_data_31,92,fake_data_31,fake_data_31,391,282,fake_data_31,fake_data_31,fake_data_31
fake_data_32,fake_data_32,593,fake_data_32,fake_data_32,558,768,fake_data_32,fake_data_32,fake_data_32
fake_data_33,fake_data_33,662,fake_data_33,fake_data_33,98,241,fake_data_33,fake_data_33,fake_data_33
fake_data_34,fake_data_34,295,fake_data_34,fake_data_34,683,104,fake_data_34,fake_data_34,fake_data_34
fake_data_35,fake_data_35,405,fake_data_35,fake_data_35,717,398,fake_data_35,fake_data_35,fake_data_35
fake_data_36,fake_data_36,204,fake_data_36,fake_data_36,453,209,fake_data_36,fake_data_36,fake_data_36
fake_data_37,fake_data_37,639,fake_data_37,fake_data_37,567,661,fake_data_37,fake_data_37,fake_data_37
fake_data_38,fake_data_38,836,fake_data_38,fake_data_38,207,572,fake_data_38,fake_data_38,fake_data_38
fake_data_39,fake_data_39,281,fake_data_39,fake_data_39,230,617,fake_data_39,fake_data_39,fake_data_39
fake_data_40,fake_data_40,676,fake_data_40,fake_data_40,922,467,fake_data_40,fake_data_40,fake_data_40
fake_data_41,fake_data_41,160,fake_data_41,fake_data_41,955,46,fake_data_41,fake_data_41,fake_data_41
fake_data_42,fake_data_42,797,fake_data_42,fake_data_42,153,769,fake_data_42,fake_data_42,fake_data_42
fake_data_43,fake_data_43,331,fake_data_43,fake_data_43,274,596,fake_data_43,fake_data_43,fake_data_43
fake_data_44,fake_data_44,911,fake_data_44,fake_data_44,655,101,fake_data_44,fake_data_44,fake_data_44
fake_data_45,fake_data_45,209,fake_data_45,fake_data_45,162,990,fake_data_45,fake_data_45,fake_data_45
fake_data_46,fake_data_46,684,fake_data_46,fake_data_46,663,466,fake_data_46,fake_data_46,fake_data_46
fake_data_47,fake_data_47,479,fake_data_47,fake_data_47,573,272,fake_data_47,fake_data_47,fake_data_47
fake_data_48,fake_data_48,75,fake_data_48,fake_data_48,535,564,fake_data_48,fake_data_48,fake_data_48
fake_data_49,fake_data_49,816,fake_data_49,fake_data_49,159,756,fake_data_49,fake_data_49,fake_data_49
